stake_id,glacier,date_start,date_end,dt_days,dx,dy,dz,daily_segment_speed
EJ26,johnson,2024-01-04,2024-03-14,70,-3.68500,-1.94700,7.43600,0.05954
EJ26,johnson,2024-03-14,2025-01-05,297,-8.55900,-2.99600,-0.44100,0.03053
EJ26,johnson,2025-01-05,2025-03-03,57,-2.05322,-0.71382,-0.30872,0.03814
EJ27,johnson,2022-12-26,2024-01-05,375,-22.13500,1.36900,-3.87600,0.05914
EJ27,johnson,2024-01-05,2024-03-14,69,-5.02600,0.59100,0.36900,0.07334
EJ27,johnson,2024-03-14,2025-01-10,302,-15.07200,1.70400,-1.77300,0.05023
EJ27,johnson,2025-01-10,2025-03-03,52,-2.91784,0.41240,-0.44603,0.05667
EJ30,johnson,2022-12-26,2024-01-04,374,-1.54800,-2.80100,-8.68600,0.00856
EJ30,johnson,2024-01-04,2024-03-04,60,-1.48600,-0.16100,7.28100,0.02491
EJ30,johnson,2024-03-04,2025-01-05,307,-2.06200,-1.30600,0.18200,0.00795
EJ30,johnson,2025-01-05,2025-03-01,55,-0.48597,-0.28254,-0.25273,0.01022
EJ31,johnson,2022-12-23,2024-01-04,377,3.08000,3.78400,-4.68100,0.01294
EJ31,johnson,2024-01-04,2024-03-04,60,-1.08400,0.21900,4.74200,0.01843
EJ31,johnson,2024-03-04,2025-01-02,304,0.51700,2.30900,0.60400,0.00778
EJ31,johnson,2025-01-02,2025-03-02,59,0.23605,0.62555,-0.41057,0.01133
EJ34,johnson,2022-12-26,2024-01-03,373,0.36500,1.95100,-4.87900,0.00532
EJ34,johnson,2024-01-03,2024-03-06,63,0.11000,0.43400,3.88000,0.00711
EJ34,johnson,2024-03-06,2025-01-02,302,0.38900,1.61700,-0.31900,0.00551
EJ34,johnson,2025-01-02,2025-03-02,59,0.16637,0.34266,-0.47045,0.00646
EJ35,johnson,2022-12-26,2024-01-03,373,-11.18900,0.31500,-6.28400,0.03001
EJ35,johnson,2024-01-03,2024-03-04,61,-2.28200,0.05400,3.28200,0.03742
EJ35,johnson,2024-03-04,2025-01-05,307,-6.86900,0.15900,-0.96900,0.02238
EJ35,johnson,2025-01-05,2025-03-01,55,-1.53678,-0.07795,-0.56636,0.02798
EJ39,johnson,2022-12-26,2024-01-04,374,2.60700,0.72300,-9.04400,0.00723
EJ39,johnson,2024-01-04,2024-03-04,60,-0.78100,0.12800,7.76200,0.01319
EJ39,johnson,2024-03-04,2025-01-05,307,1.45800,0.66000,0.10900,0.00521
EJ39,johnson,2025-01-05,2025-03-01,55,0.28444,0.10557,-0.41970,0.00552
EJ45,johnson,2022-12-28,2024-01-05,373,-19.59700,40.50200,-3.71500,0.12063
EJ45,johnson,2024-01-05,2024-03-09,64,-4.52200,10.28600,-1.17300,0.17556
EJ45,johnson,2024-03-09,2025-01-10,307,-12.92000,28.82300,-4.71300,0.10289
EJ45,johnson,2025-01-10,2025-03-08,57,-2.23660,5.99397,-0.76316,0.11224
EJ48,johnson,2022-12-26,2024-01-03,373,4.87700,4.64400,-5.51300,0.01805
EJ48,johnson,2024-01-03,2024-03-04,61,0.95700,0.90800,3.71500,0.02163
EJ48,johnson,2024-03-04,2025-01-05,307,3.38600,3.30600,-0.95600,0.01541
EJ48,johnson,2025-01-05,2025-03-01,55,0.63359,0.63522,-0.11257,0.01631
EJ50,johnson,2022-12-26,2024-01-05,375,-16.26100,9.37300,-2.34700,0.05005
EJ50,johnson,2024-01-05,2024-03-14,69,-4.25100,2.38700,-0.68200,0.07066
EJ50,johnson,2024-03-14,2025-01-10,302,-10.18000,6.61100,-1.15900,0.04019
EJ50,johnson,2025-01-10,2025-03-03,52,-2.01270,1.04482,-0.35811,0.04361
EJ51,johnson,2022-12-27,2024-01-05,374,-40.63090,27.33483,-9.45100,0.13094
EJ51,johnson,2024-01-05,2024-03-09,64,-9.11200,7.61100,-1.18700,0.18551
EJ54,johnson,2022-12-28,2024-01-08,376,-23.21026,6.37973,-9.95850,0.06402
EJ54,johnson,2024-01-08,2024-03-14,66,-7.59674,1.95927,1.55150,0.11887
EJ54,johnson,2024-03-14,2025-01-10,302,-19.82900,4.62300,-2.76700,0.06742
EJ54,johnson,2025-01-10,2025-03-03,52,-3.43067,1.18711,-1.43855,0.06981
EJ57,johnson,2022-12-27,2024-01-04,373,2.00600,1.58000,-6.27700,0.00685
EJ57,johnson,2024-01-04,2024-03-06,62,-1.80300,0.06000,3.97100,0.02910
EJ57,johnson,2024-03-06,2025-01-02,302,-0.15600,1.05100,-0.69800,0.00352
EJ57,johnson,2025-01-02,2025-03-02,59,-0.07839,0.17218,-1.12202,0.00321
EJ58,johnson,2022-12-27,2024-01-04,373,1.98900,0.87800,-4.73200,0.00583
EJ58,johnson,2024-01-04,2024-03-04,60,-0.43900,0.20900,1.60600,0.00810
EJ58,johnson,2024-03-04,2025-01-02,304,0.79000,0.78200,0.44000,0.00366
EJ58,johnson,2025-01-02,2025-03-02,59,0.16403,0.12836,-0.53059,0.00353
EJ59,johnson,2024-01-03,2024-03-14,71,-0.83200,0.36300,3.54700,0.01279
EJ59,johnson,2024-03-14,2025-01-05,297,-3.14200,1.35300,0.07100,0.01152
EJ59,johnson,2025-01-05,2025-03-03,57,-0.72007,0.28493,-0.38457,0.01359
EJ60,johnson,2024-01-04,2024-03-04,60,-0.76900,-0.59300,8.25500,0.01618
EJ60,johnson,2024-03-04,2025-01-05,307,0.73600,-1.91200,0.26500,0.00667
EJ60,johnson,2025-01-05,2025-03-01,55,0.17849,-0.44241,-0.37867,0.00867
EJ61,johnson,2024-01-05,2024-03-09,64,-3.61100,7.10900,2.99000,0.12459
EJ61,johnson,2024-03-09,2025-01-10,307,-9.74900,18.89600,-1.91800,0.06926
EJ61,johnson,2025-01-10,2025-03-08,57,-2.03882,3.73455,-0.42760,0.07465
EJ62,johnson,2024-01-05,2024-03-09,64,-0.63200,7.55100,3.61600,0.11840
EJ62,johnson,2024-03-09,2025-01-10,307,-1.77300,19.63800,-0.87300,0.06423
EJ62,johnson,2025-01-10,2025-03-08,57,-0.37470,3.69633,-0.35810,0.06518
EJ63,johnson,2024-01-10,2024-03-14,64,-2.00200,-0.80900,0.73600,0.03374
EJ63,johnson,2024-03-14,2025-01-10,302,-7.23800,-2.60900,-2.64100,0.02548
EJ63,johnson,2025-01-10,2025-03-03,52,-1.62410,-0.49058,-0.60861,0.03263
